id,principal,secundario,referencia,colonia,delegacion,longitud,latitud,nombre
94,Lic. Verdad,Moneda,Frente al Museo de la SHCP,Centro,Cuauhtémoc,-99.130918,19.433766,Lic. Verdad-Moneda
95,20 de Noviembre,Venustiano Carranza,Frente a el Templo San Bernardo,Centro,Cuauhtémoc,-99.133698,19.430722,20 de Noviembre-Venustiano Carranza
96,López,Ayuntamiento,Frente  a accesorias de iluminación,Centro,Cuauhtémoc,-99.14248,19.430625,López-Ayuntamiento
97,Republica de Salvador,Pino Suarez,A un costado de jardinera,Centro,Cuauhtémoc,-99.132759,19.429189,Republica de Salvador-Pino Suarez
98,Emilio Dondé,Av. Balderas,"A un costado del mercado de Artesanías ""Ciudadela""",Centro,Cuauhtémoc,-99.14861,19.430267,Emilio Dondé-Av. Balderas
99,Ernesto Pugibet,Luis Moya,Frente a locales de comercio,Centro,Cuauhtémoc,-99.14591,19.429947,Ernesto Pugibet-Luis Moya
100,20 de Noviembre,Mesones,Frente a Zapaterías León,Centro,Cuauhtémoc,-99.1338,19.428485,20 de Noviembre-Mesones
101,1er. Callejón de Mesones,Mesones,Frente a las Accesorias cerradas.,Centro,Cuauhtémoc,-99.135895,19.428366,1er. Callejón de Mesones-Mesones
102,Echeveste,Bolívar,Calle Jiménez,Centro,Cuauhtémoc,-99.139494,19.428214,Echeveste-Bolívar
104,San Jerónimo,Isabel la Católica,Detrás de Universidad del Claustro de Sor Juana,Centro,Cuauhtémoc,-99.137116,19.427059,San Jerónimo-Isabel la Católica
105,San Jerónimo,5 de febrero,Frente a No. 77,Centro,Cuauhtémoc,-99.135014,19.426755,San Jerónimo-5 de febrero
106,San Jerónimo,José María Pino Suarez,Frente a Parroquia San Miguel Arcángel,Centro,Cuauhtémoc,-99.133537,19.42649,San Jerónimo-José María Pino Suarez
107,Tolsa,Balderas,Frente a HSBC,Centro,Cuauhtémoc,-99.149971,19.427329,Tolsa-Balderas
108,Tolsa,Balderas,Frente a HSBC,Centro,Cuauhtémoc,-99.149533,19.427305,Tolsa-Balderas
109,Nezahualcóyotl,Isabel la Católica,Frente a edificio de Agua Potable,Centro,Cuauhtémoc,-99.137421,19.425311,Nezahualcóyotl-Isabel la Católica
110,Dr. Valenzuela,Dr. Río de la Loza,Frente a Ford,Doctores,Cuauhtémoc,-99.143391,19.425126,Dr. Valenzuela-Dr. Río de la Loza
112,Av. Morelos,Abraham González,Frente a edificio Expo Reforma,Juárez,Cuauhtémoc,-99.151734,19.432819,Av. Morelos-Abraham González
113,General Prim,Versalles,Frente a Funeraria J. García y Restaurant,Juárez,Cuauhtémoc,-99.154419,19.430369,General Prim-Versalles
114,Lucerna,Abraham González,Frente a cantina Circulo del Sureste,Juárez,Cuauhtémoc,-99.153618,19.428989,Lucerna-Abraham González
115,Roma,Dinamarca,A un costado de Mac´Donals,Juárez,Cuauhtémoc,-99.159698,19.429947,Roma-Dinamarca
116,Londres,Roma,Frente a Sumesa a un costado de Iglesia,Juárez,Cuauhtémoc,-99.15664,19.428985,Londres-Roma
117,Londres,Nápoles,Frente a Seven 7,Juárez,Cuauhtémoc,-99.160369,19.427132,Londres-Nápoles
118,Liverpool,Dinamarca,Frente a La Vitrola,Juárez,Cuauhtémoc,-99.158251,19.427114,Liverpool-Dinamarca
119,Turín,Abraham González,Frente a No.40,Juárez,Cuauhtémoc,-99.155535,19.426785,Turín-Abraham González
120,Marsella,Nápoles,Frente a No. 51,Juárez,Cuauhtémoc,-99.159458,19.425437,Marsella-Nápoles
121,Niza,Chapultepec,Frente a Canchas de usos Múltiples.,Juárez,Cuauhtémoc,-99.161317,19.424137,Niza-Chapultepec
122,José María Vértiz,Av. Dr. Río de la Loza,A un costado de Escuela Libre de Derecho,Doctores,Cuauhtémoc,-99.146337,19.425502,José María Vértiz-Av. Dr. Río de la Loza
123,Claudio Bernard,Dr. Lavista,Frente a distribuidora de Plásticos,Doctores,Cuauhtémoc,-99.153117,19.424161,Claudio Bernard-Dr. Lavista
124,Claudio Bernard,Dr. Liceaga,Frente a estación Indianilla,Doctores,Cuauhtémoc,-99.150358,19.422392,Claudio Bernard-Dr. Liceaga
125,Morelia,Circular de Morelia,Frente a Plaza Morelia,Roma Norte,Cuauhtémoc,-99.156204,19.424541,Morelia-Circular de Morelia
126,Jalapa,Puebla,Frente a Centro Universitario San Ángel,Roma Norte,Cuauhtémoc,-99.162138,19.422288,Jalapa-Puebla
127,Puebla,Mérida,Frente a edificio rojo No.79,Roma Norte,Cuauhtémoc,-99.15833,19.423318,Puebla-Mérida
128,Orizaba,Rio de Janeiro,Frente al Tribunal Agrario,Roma Norte,Cuauhtémoc,-99.160645,19.422148,Orizaba-Rio de Janeiro
129,Tonalá,Durango,Frente a casa color amarillo,Roma Norte,Cuauhtémoc,-99.163312,19.4206,Tonalá-Durango
130,Mérida,Durango,A un costado de Restaurant Kachis,Roma Norte,Cuauhtémoc,-99.158015,19.421576,Mérida-Durango
131,Colima,Jalapa,Frente a Auditorio Heriberto Castillo Martínez,Roma Norte,Cuauhtémoc,-99.161314,19.419579,Colima-Jalapa
132,Colima,Frontera,Frente a Edificio Marisol,Roma Norte,Cuauhtémoc,-99.15645,19.420667,Colima-Frontera
133,Colima,Morelia,Frente a Tienda Vértigo,Roma Norte,Cuauhtémoc,-99.154725,19.421138,Colima-Morelia
134,Álvaro Obregón,Orizaba,Frente a Café Mac´ma,Roma Norte,Cuauhtémoc,-99.15956,19.418304,Álvaro Obregón-Orizaba
